signals	samplings	stddev	ber	rber	complete	time(ms)
45	1500	0	0.0177976	0.0975296	1000	542.041
46	1500	0	0.0270848	0.115599	1000	642.071
47	1500	0	0.0414801	0.137643	1000	903.271
48	1500	0	0.060457	0.164353	1000	923.809
49	1500	0	0.0896105	0.200283	1000	1187.69
50	1500	0	0.131881	0.242045	1000	1501.13
2	1600	0	0	0.00548938	1000	1.338
3	1600	0	0	0.00653479	1000	2.878
4	1600	0	0	0.00736734	1000	4.229
5	1600	0	0	0.00816962	1000	6.334
6	1600	0	0	0.00882844	1000	8.746
7	1600	0	0	0.00943036	1000	11.425
8	1600	0	0	0.0100304	1000	12.739
9	1600	0	0	0.0106594	1000	16.176
10	1600	0	0	0.0111389	1000	19.251
11	1600	0	0	0.0117039	1000	22.575
12	1600	0	0	0.0121678	1000	23.759
13	1600	0	0	0.0127127	999	28.5185
14	1600	0	0	0.0132183	1000	32.6
15	1600	0	0	0.0136476	1000	37.199
16	1600	0	0	0.01409	1000	38.396
17	1600	0	0	0.0145034	1000	44.244
18	1600	0	0	0.0149041	1000	49.265
19	1600	0	0	0.0153633	1000	54.422
20	1600	0	0	0.0157737	1000	56.218
21	1600	0	2.23214e-06	0.0161317	1000	63.6
22	1600	0	0	0.0165716	1000	68.826
23	1600	0	0	0.0168657	1000	77.094
24	1600	0	0	0.0173255	1000	75.654
25	1600	0	8e-07	0.0177616	1000	85.654
26	1600	0	0	0.0180103	1000	93.75
27	1600	0	1.27674e-05	0.0184648	999	102.881
28	1600	0	2.4308e-05	0.0189946	1000	105.569
29	1600	0	2.42026e-05	0.0193894	1000	117.403
30	1600	0	3.35e-05	0.0198293	1000	129.395
31	1600	0	7.60282e-05	0.0204854	1000	140.137
32	1600	0	0.000103717	0.0209207	999	142.169
33	1600	0	0.000193125	0.0222297	1000	159.392
34	1600	0	0.000240901	0.0231703	1000	172.655
35	1600	0	0.000374893	0.0239872	1000	189.375
36	1600	0	0.000514705	0.0257418	1000	193.046
37	1600	0	0.000657382	0.0273508	1000	213.713
38	1600	0	0.000969243	0.0302316	1000	233.604
39	1600	0	0.00132042	0.0345701	1000	257.752
40	1600	0	0.0018227	0.0379767	1000	268.602
41	1600	0	0.00267633	0.04392	1000	312.972
42	1600	0	0.00391229	0.0492317	1000	349.339
43	1600	0	0.00505866	0.0556255	1000	391.729
44	1600	0	0.00731892	0.0650828	1000	417.629
45	1600	0	0.0104548	0.0755563	1000	492.12
46	1600	0	0.015368	0.0897203	1000	604.679
47	1600	0	0.0233281	0.108335	1000	741.305
48	1600	0	0.0334706	0.124046	1000	797.551
49	1600	0	0.0503284	0.151543	1000	1010.05
50	1600	0	0.0783834	0.188816	1000	1285.84
51	1600	0	0.112547	0.222442	1000	1614.08
2	1700	0	1.17647e-06	0.00566853	1000	1.512
3	1700	0	0	0.00633235	1000	3.05
4	1700	0	0	0.00723206	1000	4.51
5	1700	0	0	0.00787035	1000	7.064
6	1700	0	0	0.00842422	1000	10.365
7	1700	0	0	0.00913714	1000	11.653
8	1700	0	0	0.0098161	1000	13.394
9	1700	0	0	0.0102943	1000	16.753
10	1700	0	0	0.0108416	1000	20.526
11	1700	0	0	0.0113504	1000	23.615
12	1700	0	0	0.0118397	1000	25.847
13	1700	0	0	0.0122632	1000	30.256
14	1700	0	0	0.0127492	1000	35.538
15	1700	0	0	0.0132506	1000	40.474
16	1700	0	0	0.0136532	1000	42.114
17	1700	0	0	0.0140983	1000	47.988
18	1700	0	0	0.014496	1000	53.048
19	1700	0	0	0.0148635	998	58.6002
20	1700	0	0	0.0152885	1000	60.99
